ranking,name,wealth,wealth_change,ranking_change,company,company_en,headquarters,industry,industry_en,relations,gender,age,birthday,nationality,birth_place,permanent_place,education,school,native_place,wealth_numeric,age_numeric,industry_clean,location_clean
1,张一鸣,3500.0,43%,4,字节跳动,ByteDance,北京,社交媒体,Social Media,未知,先生,41,1983-01-01,198,中国-福建-龙岩,中国-北京,本科,南开,,3500.0,41,社交媒体,北京
2,钟睒睒,3400.0,-24%,-1,养生堂,YST,浙江杭州,饮料、医疗保健,"Drinks, Pharmaceuticals",未知,先生,70,1954-11-01,198,中国-浙江-绍兴,中国-浙江-杭州,,,,3400.0,70,饮料、医疗保健,浙江杭州
3,马化腾,3150.0,13%,-1,腾讯,Tencent,广东深圳,互联网服务,Internet Services,未知,先生,53,1971-10-01,198,中国-海南,中国-广东-深圳,本科,深圳大学,中国-广东-汕头,3150.0,53,互联网服务,广东深圳
4,黄峥,2450.0,-9%,-1,拼多多,Pinduoduo,上海长宁,购物网站,E-Commerce,未知,先生,44,1980-01-01,198,中国-浙江-杭州,中国-上海,硕士,浙大、威斯康星大学,中国-浙江-杭州,2450.0,44,购物网站,上海长宁
5,何享健,2350.0,18%,3,美的,Midea,广东佛山,家电制造,Household Appliances,家族,先生,82,1942-01-01,198,中国-广东-佛山,中国-广东-佛山,,,中国-广东-佛山,2350.0,82,家电制造,广东佛山
6,曾毓群,2000.0,-20%,-2,宁德时代,CATL,福建宁德,锂电池,Battery Technology,未知,先生,56,1968-01-01,198,中国-福建-宁德,中国-福建-宁德,博士,上交大、中科院,,2000.0,56,锂电池,福建宁德
6,丁磊,2000.0,-17%,0,网易,Netease,浙江杭州,互联网技术,Internet Services,未知,先生,53,1971-10-01,198,中国-浙江-宁波,中国-浙江-杭州,本科,电子科技,中国-浙江-宁波,2000.0,53,互联网技术,浙江杭州
6,李嘉诚、李泽钜,2000.0,-5%,1,长江实业,Cheung Kong,香港,投资,Investments,父子,先生,96,1928-01-01,198,中国-香港,中国-香港,,,中国-广东-潮州,2000.0,96,投资,香港
9,李兆基,1750.0,9%,2,恒基兆业,Henderson Land,香港,房地产,Estate Holding,家族,先生,96,1928-01-01,198,中国-广东-佛山,中国-香港,,,中国-广东-佛山,1750.0,96,房地产,香港
10,马云,1650.0,-3%,0,阿里系,Alibaba,浙江杭州,电子商务、金融科技,"E-Commerce, Fintech",家族,先生,60,1964-10-15,198,中国-浙江-杭州,中国-浙江-杭州,本科,杭州师范学院,中国-浙江-绍兴,1650.0,60,电子商务、金融科技,浙江杭州
11,李书福,1450.0,-17%,-2,吉利,Geely,浙江杭州,汽车制造,Car Manufacturing,家族,先生,61,1963-06-25,198,中国-浙江-台州,中国-浙江-杭州,博士,哈工大、燕山、哈工大,中国-浙江-台州,1450.0,61,汽车制造,浙江杭州
11,严昊,1450.0,-3%,1,太平洋建设,China Pacific Construction,新疆乌鲁木齐,基础建设,Roads,未知,先生,38,1986-01-01,198,中国-江苏-淮安,中国-江苏-南京,本科,南京师范大学,中国-江苏-淮安,1450.0,38,基础建设,新疆乌鲁木齐
11,张刚,1450.0,7%,5,信发铝电,Xinfalyudian,山东聊城,电解铝、氧化铝,Aluminum,家族,先生,43,1981-01-01,198,中国-山东-聊城,中国-山东-聊城,硕士,西北工业、澳大利亚中央昆士兰大学,中国-山东-聊城,1450.0,43,电解铝、氧化铝,山东聊城
14,李蔡美灵,1400.0,0%,0,李锦记,Lee Kun Kee,香港,调味品,Food Processing,家族,先生,未知,1900-01-01,198,中国-香港,中国-香港,,,中国-香港,1400.0,0,调味品,香港
14,吕向阳、张长虹,1400.0,0%,0,融捷,Youngy,广东广州,投资,Investments,夫妇,先生,61,1963-01-01,198,中国-安徽-芜湖,中国-广东-广州,,,中国-安徽-芜湖,1400.0,61,投资,广东广州
16,秦英林、钱瑛,1350.0,-7%,-3,牧原,Muyuan,河南南阳,畜牧,Pig Farming,夫妇,先生,59,1965-01-01,198,中国-河南-南阳,中国-河南-南阳,本科,河南农业大学,中国-河南-南阳,1350.0,59,畜牧,河南南阳
16,王传福,1350.0,0%,0,比亚迪,BYD,广东深圳,汽车、充电电池,"Automobile, New Energy",未知,先生,58,1966-02-01,198,中国-安徽-芜湖,中国-广东-深圳,本科,中南,中国-安徽-芜湖,1350.0,58,汽车、充电电池,广东深圳
16,赵长鹏,1350.0,200%,81,币安,Binance,美国,虚拟货币交易所,Blockchain,未知,先生,47,1977-01-01,198,中国-江苏-连云港,阿联酋迪拜,本科,麦吉尔大学,,1350.0,47,虚拟货币交易所,美国
19,雷军,1300.0,38%,15,小米,Xiaomi,北京,智能硬件与技术、投资,"IoT, Investments",未知,先生,55,1969-12-01,198,中国-湖北-仙桃,中国-北京,本科,武大,中国-湖北-仙桃,1300.0,55,智能硬件与技术、投资,北京
20,陈建华、范红卫,1250.0,0%,0,恒力,Hengli,江苏苏州,化纤、石化、房地产,"Textiles, Chemical Fiber, Real Estate",夫妇,先生,53,1971-01-01,198,中国-江苏-苏州,中国-江苏-苏州,硕士,南京师范,中国-江苏-苏州,1250.0,53,化纤、石化、房地产,江苏苏州
20,张志东,1250.0,14%,6,腾讯,Tencent,广东深圳,互联网服务,Internet Services,未知,先生,52,1972-01-01,198,中国-广东-东莞,中国-广东-深圳,硕士,深圳、华南理工,中国-广东-东莞,1250.0,52,互联网服务,广东深圳
22,刘永行、刘相宇,1200.0,-8%,-4,东方希望,East Hope,上海浦东,氧化铝、重化工、饲料,"Aluminium, Feed",父子,先生,76,1948-06-01,198,中国-四川-成都,中国-上海,博士,西华、恒生国际、美国波士顿,,1200.0,76,氧化铝、重化工、饲料,上海浦东
23,王卫,1100.0,-12%,-3,顺丰,SF,广东深圳,快递,Express Delivery,未知,先生,54,1970-01-01,198,中国-上海,中国-香港,,,中国-广东-河源,1100.0,54,快递,广东深圳
23,魏建军、韩雪娟,1100.0,-8%,1,长城,Great Wall Motor,河北保定,汽车制造,Automobile,夫妇,先生,60,1964-01-01,198,中国-河北-保定,中国-河北-保定,,,中国-河北-保定,1100.0,60,汽车制造,河北保定
23,郑淑良,1100.0,31%,15,魏桥创业,Weiqiao Pioneering,山东滨州,铝业、纺织,"Aluminum, Textiles",家族,先生,78,1946-01-01,198,中国-山东,中国-山东-滨州,,,中国-山东-滨州,1100.0,78,铝业、纺织,山东滨州
26,李西廷,1000.0,0%,1,迈瑞,Mindray,广东深圳,医疗器械,Pharmaceuticals,未知,先生,73,1951-01-01,198,中国-安徽-宿州,新加坡,本科,中科大,中国-安徽-宿州,1000.0,73,医疗器械,广东深圳
27,党彦宝,950.0,0%,4,宝丰,Baofeng Energy,宁夏银川,煤化工,Coal Chemical,未知,先生,51,1973-01-01,198,,中国-宁夏-吴忠,本科,宁夏,,950.0,51,煤化工,宁夏银川
27,徐航,950.0,-5%,0,迈瑞、鹏瑞,"Mindray, Parkland",广东深圳,医疗器械、房地产,"Health Tech, Real Estate",未知,先生,62,1962-01-01,198,中国-广东-广州,中国-广东-深圳,本科,清华,中国-广东,950.0,62,医疗器械、房地产,广东深圳
27,郑家纯,950.0,-27%,-9,周大福,Chow Tai Fook,香港,珠宝,Jewellery,家族,先生,76,1948-01-01,198,中国-香港,中国-香港,,,中国-香港,950.0,76,珠宝,香港
30,郭台铭,930.0,55%,36,鸿海,Hon Hai,台湾台北,电子制造,Manufacturing,未知,先生,74,1950-10-08,198,中国-台湾-新北,中国-台湾-台北,,,中国-山西-晋城,930.0,74,电子制造,台湾台北
30,吴光正,930.0,-7%,-3,会德丰,Wheelock,香港,房地产,Estate Holding,家族,先生,78,1946-01-01,198,中国-上海,中国-香港,,,中国-浙江-宁波,930.0,78,房地产,香港
32,刘銮雄,910.0,-1%,3,华人置业,Chinese Estates,香港,房地产,Estate Holding,家族,先生,73,1951-01-01,198,中国-香港,中国-香港,,,中国-香港,910.0,73,房地产,香港
33,黄世霖,890.0,-23%,-8,宁德时代,CATL,福建宁德,锂电池,Battery Technology,未知,先生,57,1967-01-01,198,中国-福建-宁德,中国-福建-宁德,本科,合肥工业大学,,890.0,57,锂电池,福建宁德
34,王兴,885.0,-29%,-14,美团,Meituan,北京,生活服务,Life Service,未知,先生,45,1979-02-01,198,中国-福建-龙岩,中国-北京,本科,清华,中国-福建,885.0,45,生活服务,北京
35,庞康,870.0,9%,5,海天味业,Haitian,广东佛山,调味品,Food Flavorings,未知,先生,68,1956-01-01,198,中国-广东-佛山,中国-广东-佛山,本科,,,870.0,68,调味品,广东佛山
36,杜纪川,850.0,6%,4,金士顿科技,Kingston Technology,美国洛杉矶,半导体,Semiconductors,未知,先生,83,1941-01-01,198,中国-重庆,美国-洛杉矶,,,中国-浙江-丽水,850.0,83,半导体,美国洛杉矶
36,孙大卫,850.0,6%,4,金士顿科技,Kingston Technology,美国洛杉矶,半导体,Semiconductors,未知,先生,73,1951-10-22,198,中国-台湾-台北,美国-洛杉矶,,,,850.0,73,半导体,美国洛杉矶
38,林立,810.0,-10%,-2,立业,Liye,广东深圳,投资,Investments,未知,先生,61,1963-01-01,198,中国-广东-河源,中国-广东-深圳,硕士,湖北工,中国-广东-河源,810.0,61,投资,广东深圳
38,宗馥莉,810.0,-15%,-7,娃哈哈,Wahaha,浙江杭州,饮料,Drinks,未知,女士,未知,1900-01-01,198,,中国-浙江-杭州,,,,810.0,0,饮料,浙江杭州
40,吕志和,800.0,-36%,-20,银河,Galaxy Entertainment,香港,博彩,Gaming,家族,先生,95,1929-01-01,198,中国-香港,中国-香港,,,中国-广东-江门,800.0,95,博彩,香港
40,严彬,800.0,-20%,-13,华彬,Reignwood,北京,饮料、地产,Food & Beverages,未知,先生,70,1954-01-01,198,中国-河南-新乡,中国-北京,,,中国-山东-莱州,800.0,70,饮料、地产,北京
42,钟慧娟,770.0,83%,69,翰森,Hansoh,江苏连云港,医药,Pharmaceuticals,未知,女士,63,1961-01-01,198,,中国-上海,,,,770.0,63,医药,江苏连云港
43,李泽楷,750.0,-3%,1,电讯盈科,PCCW,香港,电信,Telecommunications,未知,先生,58,1966-11-01,198,中国-香港,中国-香港,,,中国-广东-潮州,750.0,58,电信,香港
44,蔡浩宇,730.0,9%,11,米哈游,Mihoyo,上海,游戏,Online games,未知,先生,37,1987-01-01,198,中国-山东-济南,中国-上海,,,中国-山东-济南,730.0,37,游戏,上海
