期号,开奖时间,前区号码,后区号码,有序前区号码,有序后区号码,销售额,奖池金额,开奖星期,中奖详情,顺序
25073,2025-06-30,01 04 17 33 34,03 09,01 17 04 34 33,03 09,306793454,1695259566.21,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '11', 'awardMoney': '7635760', 'totalMoney': '83993360'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '2', 'awardMoney': '6108608', 'totalMoney': '12217216'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '158', 'awardMoney': '76908', 'totalMoney': '12151464'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '40', 'awardMoney': '61526', 'totalMoney': '2461040'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '232', 'awardMoney': '10000', 'totalMoney': '2320000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1797', 'awardMoney': '3000', 'totalMoney': '5391000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '19904', 'awardMoney': '300', 'totalMoney': '5971200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '44942', 'awardMoney': '200', 'totalMoney': '8988400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '33222', 'awardMoney': '100', 'totalMoney': '3322200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '906441', 'awardMoney': '15', 'totalMoney': '13596615'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8863643', 'awardMoney': '5', 'totalMoney': '44318215'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",100
25072,2025-06-28,04 07 15 24 29,01 04,07 04 15 24 29,04 01,337329044,1739661640.72,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '6', 'awardMoney': '10000000', 'totalMoney': '60000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '2', 'awardMoney': '8000000', 'totalMoney': '16000000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '131', 'awardMoney': '125166', 'totalMoney': '16396746'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '40', 'awardMoney': '100132', 'totalMoney': '4005280'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '436', 'awardMoney': '10000', 'totalMoney': '4360000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '784', 'awardMoney': '3000', 'totalMoney': '2352000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '19172', 'awardMoney': '300', 'totalMoney': '5751600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '21593', 'awardMoney': '200', 'totalMoney': '4318600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '60486', 'awardMoney': '100', 'totalMoney': '6048600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '732974', 'awardMoney': '15', 'totalMoney': '10994610'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7745815', 'awardMoney': '5', 'totalMoney': '38729075'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",99
25071,2025-06-25,01 08 25 31 33,05 11,08 01 25 31 33,05 11,313848778,1743326978.4,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '3', 'awardMoney': '10000000', 'totalMoney': '30000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '65', 'awardMoney': '211711', 'totalMoney': '13761215'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '10', 'awardMoney': '169368', 'totalMoney': '1693680'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '173', 'awardMoney': '10000', 'totalMoney': '1730000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '943', 'awardMoney': '3000', 'totalMoney': '2829000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '14618', 'awardMoney': '300', 'totalMoney': '4385400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '35984', 'awardMoney': '200', 'totalMoney': '7196800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '29170', 'awardMoney': '100', 'totalMoney': '2917000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '905690', 'awardMoney': '15', 'totalMoney': '13585350'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '10178530', 'awardMoney': '5', 'totalMoney': '50892650'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",98
25070,2025-06-23,08 09 15 20 22,04 12,22 09 08 20 15,12 04,312961169,1718532211.45,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '2', 'awardMoney': '10000000', 'totalMoney': '20000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '112', 'awardMoney': '123539', 'totalMoney': '13836368'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '34', 'awardMoney': '98831', 'totalMoney': '3360254'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '442', 'awardMoney': '10000', 'totalMoney': '4420000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '773', 'awardMoney': '3000', 'totalMoney': '2319000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '20276', 'awardMoney': '300', 'totalMoney': '6082800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '23269', 'awardMoney': '200', 'totalMoney': '4653800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '55689', 'awardMoney': '100', 'totalMoney': '5568900'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '786933', 'awardMoney': '15', 'totalMoney': '11803995'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8067094', 'awardMoney': '5', 'totalMoney': '40335470'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",97
25069,2025-06-21,04 06 07 33 34,09 10,07 04 33 06 34,10 09,338663590,1677561945.36,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '3', 'awardMoney': '10000000', 'totalMoney': '30000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '71', 'awardMoney': '269001', 'totalMoney': '19099071'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '15', 'awardMoney': '215200', 'totalMoney': '3228000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '279', 'awardMoney': '10000', 'totalMoney': '2790000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '578', 'awardMoney': '3000', 'totalMoney': '1734000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '14719', 'awardMoney': '300', 'totalMoney': '4415700'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '21655', 'awardMoney': '200', 'totalMoney': '4331000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '34166', 'awardMoney': '100', 'totalMoney': '3416600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '681179', 'awardMoney': '15', 'totalMoney': '10217685'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7510636', 'awardMoney': '5', 'totalMoney': '37553180'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",96
25068,2025-06-18,01 04 17 20 22,04 10,20 04 01 17 22,10 04,318966997,1628402089.96,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '2', 'awardMoney': '10000000', 'totalMoney': '20000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '1', 'awardMoney': '8000000', 'totalMoney': '8000000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '98', 'awardMoney': '159002', 'totalMoney': '15582196'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '28', 'awardMoney': '127201', 'totalMoney': '3561628'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '284', 'awardMoney': '10000', 'totalMoney': '2840000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '699', 'awardMoney': '3000', 'totalMoney': '2097000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '17313', 'awardMoney': '300', 'totalMoney': '5193900'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '22395', 'awardMoney': '200', 'totalMoney': '4479000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '52242', 'awardMoney': '100', 'totalMoney': '5224200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '718573', 'awardMoney': '15', 'totalMoney': '10778595'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7732706', 'awardMoney': '5', 'totalMoney': '38663530'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",95
25067,2025-06-16,06 10 12 21 22,01 06,12 22 06 21 10,01 06,321766533,1588528359.21,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '5', 'awardMoney': '10000000', 'totalMoney': '50000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '1', 'awardMoney': '8000000', 'totalMoney': '8000000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '156', 'awardMoney': '101197', 'totalMoney': '15786732'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '40', 'awardMoney': '80957', 'totalMoney': '3238280'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '405', 'awardMoney': '10000', 'totalMoney': '4050000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '878', 'awardMoney': '3000', 'totalMoney': '2634000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '20232', 'awardMoney': '300', 'totalMoney': '6069600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '23824', 'awardMoney': '200', 'totalMoney': '4764800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '53169', 'awardMoney': '100', 'totalMoney': '5316900'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '736714', 'awardMoney': '15', 'totalMoney': '11050710'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7460408', 'awardMoney': '5', 'totalMoney': '37302040'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",94
25066,2025-06-14,15 18 27 28 34,03 06,34 27 15 28 18,03 06,339059066,1579075869.3,星期六,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '3', 'awardMoney': '10000000', 'totalMoney': '30000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '95', 'awardMoney': '178917', 'totalMoney': '16997115'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '19', 'awardMoney': '143133', 'totalMoney': '2719527'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '217', 'awardMoney': '10000', 'totalMoney': '2170000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '917', 'awardMoney': '3000', 'totalMoney': '2751000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '15396', 'awardMoney': '300', 'totalMoney': '4618800'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '30448', 'awardMoney': '200', 'totalMoney': '6089600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '34422', 'awardMoney': '100', 'totalMoney': '3442200'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '846893', 'awardMoney': '15', 'totalMoney': '12703395'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '8948548', 'awardMoney': '5', 'totalMoney': '44742740'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",93
25065,2025-06-11,07 25 32 33 35,04 09,33 25 35 32 07,09 04,322427160,1539171327.57,星期三,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '4', 'awardMoney': '10000000', 'totalMoney': '40000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '1', 'awardMoney': '8000000', 'totalMoney': '8000000'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '103', 'awardMoney': '123549', 'totalMoney': '12725547'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '21', 'awardMoney': '98839', 'totalMoney': '2075619'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '404', 'awardMoney': '10000', 'totalMoney': '4040000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '1243', 'awardMoney': '3000', 'totalMoney': '3729000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '17528', 'awardMoney': '300', 'totalMoney': '5258400'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '49810', 'awardMoney': '200', 'totalMoney': '9962000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '33523', 'awardMoney': '100', 'totalMoney': '3352300'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '1066743', 'awardMoney': '15', 'totalMoney': '16001145'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '9673683', 'awardMoney': '5', 'totalMoney': '48368415'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",92
25064,2025-06-09,05 10 18 20 34,01 08,20 18 10 34 05,01 08,328463659,1534694449.82,星期一,"[{'awardEtc': '1', 'baseBetWinner': {'remark': '基本', 'awardNum': '2', 'awardMoney': '10000000', 'totalMoney': '20000000'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '0', 'awardMoney': '0', 'totalMoney': '0'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '2', 'baseBetWinner': {'remark': '基本', 'awardNum': '107', 'awardMoney': '160826', 'totalMoney': '17208382'}, 'addToBetWinner': {'remark': '追加', 'awardNum': '25', 'awardMoney': '128660', 'totalMoney': '3216500'}, 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '3', 'baseBetWinner': {'remark': '三等奖', 'awardNum': '276', 'awardMoney': '10000', 'totalMoney': '2760000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '4', 'baseBetWinner': {'remark': '四等奖', 'awardNum': '773', 'awardMoney': '3000', 'totalMoney': '2319000'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '5', 'baseBetWinner': {'remark': '五等奖', 'awardNum': '14872', 'awardMoney': '300', 'totalMoney': '4461600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '6', 'baseBetWinner': {'remark': '六等奖', 'awardNum': '22908', 'awardMoney': '200', 'totalMoney': '4581600'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '7', 'baseBetWinner': {'remark': '七等奖', 'awardNum': '34021', 'awardMoney': '100', 'totalMoney': '3402100'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '8', 'baseBetWinner': {'remark': '八等奖', 'awardNum': '728899', 'awardMoney': '15', 'totalMoney': '10933485'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}, {'awardEtc': '9', 'baseBetWinner': {'remark': '九等奖', 'awardNum': '7929704', 'awardMoney': '5', 'totalMoney': '39648520'}, 'addToBetWinner': '', 'addToBetWinner2': '', 'addToBetWinner3': ''}]",91
